id,name,sex,age,white,degree,work_area,years_of_experience,salary
99,Oscar,M,18,False,False,Cleaning,0,30.71
100,Steve,M,34,False,False,Transport,0,44.88
101,Jessica,F,36,False,False,IT,9,56.8
102,Jessica,F,32,False,True,Education,7,43.43
103,Steve,M,51,True,True,IT,10,94.79
104,Steve,M,25,True,True,Health,3,47.79
105,Clara,F,38,True,True,Education,0,42.5
106,Maria,F,25,True,False,Cleaning,5,27.89
107,Oscar,M,60,True,True,Health,20,54.13
108,John,M,35,True,False,Cleaning,7,39.59
109,Carlos,M,55,True,True,Health,6,85.76
110,Steve,M,39,False,True,Health,13,72.95
111,Mark,M,56,True,True,IT,21,82.94
112,Tim,M,37,True,False,IT,14,66.93
113,John,M,56,True,True,IT,1,54.53
114,Jessica,F,35,True,True,Health,10,53.32
115,Elisabeth,F,42,True,False,IT,18,53.79
116,Oscar,M,60,False,False,Transport,21,44.81
117,Steve,M,33,True,False,Transport,1,32.96
118,Clara,F,21,True,False,Cleaning,3,35.25
119,Tim,M,62,False,True,Health,23,62.27
120,Mark,M,56,True,False,Transport,13,54.3
121,Jessica,F,61,False,False,Cleaning,5,26.9
122,Mark,M,31,True,True,Health,2,51.55
123,John,M,37,True,True,IT,13,69.65
124,Jessica,F,28,True,False,Transport,7,40.76
125,Steve,M,47,True,True,Education,19,30.38
126,Oscar,M,32,True,True,Health,14,39.75
127,Maria,F,59,True,True,Education,23,54.65
128,Clara,F,65,True,False,IT,42,67.59
129,John,M,32,False,False,Transport,1,43.36
130,Mark,M,30,True,False,IT,2,68.35
131,Elisabeth,F,57,False,True,IT,33,66.0
132,Elisabeth,F,28,True,False,Transport,10,36.59
133,John,M,24,True,True,Health,4,50.62
134,Oscar,M,38,False,True,IT,16,90.45
135,Elisabeth,F,64,True,False,Cleaning,45,32.56
136,Clara,F,18,True,True,Health,0,48.67
137,Paula,F,52,True,True,Health,7,56.67
138,Elisabeth,F,63,True,False,Cleaning,7,28.11
139,Maria,F,55,False,False,Transport,5,32.51
140,Maria,F,51,False,True,IT,25,62.31
141,Maria,F,36,False,False,Transport,11,36.06
142,Tim,M,53,True,True,Health,10,60.06
143,Steve,M,47,True,True,Health,29,53.1
144,Clara,F,48,True,True,Health,13,47.98
145,Tim,M,18,False,False,Transport,0,34.99
146,Steve,M,55,True,False,Transport,25,52.85
147,John,M,34,True,True,Education,2,48.83
148,Maria,F,53,True,False,Transport,16,37.33
149,Clara,F,63,False,True,Health,14,66.52
150,Maria,F,41,False,True,Education,16,55.16
151,Maria,F,20,False,True,Health,0,43.44
152,Clara,F,22,False,False,Cleaning,3,23.45
153,Paula,F,38,False,True,Education,4,42.38
154,Elisabeth,F,21,True,False,Transport,2,44.89
155,Clara,F,32,True,True,Health,4,52.19
156,Carlos,M,51,True,False,Cleaning,20,42.13
157,Maria,F,31,True,False,IT,1,39.69
158,Maria,F,48,False,False,IT,14,48.22
159,Clara,F,30,True,True,Education,4,37.76
160,John,M,62,True,True,Health,2,45.05
161,Mark,M,51,True,False,Transport,23,36.78
162,Steve,M,43,True,False,Transport,12,40.53
163,Maria,F,57,True,True,IT,38,76.26
164,Maria,F,31,True,False,Transport,2,33.3
165,Carlos,M,24,True,False,Cleaning,0,23.47
166,Jessica,F,55,True,True,IT,3,59.56
167,Maria,F,24,True,True,Education,5,45.01
168,John,M,62,False,False,Transport,0,23.89
169,Mark,M,43,True,False,Transport,4,43.04
170,Jessica,F,28,True,False,Cleaning,4,30.47
171,Oscar,M,37,True,False,IT,6,62.34
172,Maria,F,49,True,True,Education,26,52.26
173,Clara,F,29,True,False,Cleaning,11,37.94
174,Mark,M,46,True,True,IT,7,62.03
175,Clara,F,35,True,False,Transport,12,49.58
176,Paula,F,27,True,True,Education,7,54.55
177,John,M,22,True,False,Cleaning,0,43.46
178,Clara,F,64,True,True,Health,16,48.81
179,Paula,F,57,False,False,IT,17,51.49
180,Maria,F,45,True,False,Cleaning,5,37.99
181,Tim,M,64,True,True,IT,7,53.83
182,Paula,F,51,True,True,Health,27,57.46
183,Tim,M,19,True,False,Cleaning,1,31.76
184,Maria,F,40,True,True,Health,14,63.33
185,Clara,F,46,True,False,Transport,28,42.84
186,Mark,M,31,False,False,IT,1,51.48
187,Tim,M,30,False,False,Transport,10,57.54
188,Jessica,F,58,False,False,Transport,8,39.86
189,Clara,F,50,False,False,IT,31,54.94
190,Paula,F,34,True,False,IT,0,38.19
191,Maria,F,52,True,False,Cleaning,24,24.56
192,Mark,M,45,True,False,Cleaning,20,46.28
193,Maria,F,41,True,True,Education,19,57.45
194,Jessica,F,29,True,False,IT,6,52.09
195,John,M,50,False,False,Transport,13,48.32
196,Paula,F,53,True,True,Education,32,44.68
197,Maria,F,44,True,False,Cleaning,0,32.0
198,Clara,F,60,False,True,Education,35,49.43
199,Paula,F,43,True,True,Health,13,51.46
200,Steve,M,56,True,False,Cleaning,2,33.63
201,Carlos,M,34,False,False,Cleaning,3,29.14
202,Steve,M,18,True,True,Health,0,46.69
203,Jessica,F,55,True,True,Health,4,49.63
204,Maria,F,31,False,False,Cleaning,11,31.85
205,Maria,F,43,True,True,Education,19,59.55
206,Steve,M,65,True,False,IT,13,87.54
207,Carlos,M,25,False,False,IT,7,48.37
208,Steve,M,60,True,True,Health,34,46.14
209,Tim,M,23,True,False,IT,1,45.63
210,Maria,F,63,True,False,IT,15,57.14
211,Mark,M,38,True,True,Health,16,54.08
212,Carlos,M,43,False,True,Health,1,46.72
213,Mark,M,23,False,True,IT,0,68.07
214,Jessica,F,47,False,True,IT,22,65.22
215,Steve,M,32,True,True,IT,7,88.91
216,Paula,F,34,True,True,IT,8,61.31
217,Maria,F,30,False,False,Transport,11,38.57
218,John,M,24,False,False,Cleaning,1,26.06
219,Clara,F,49,True,False,Cleaning,24,40.75
220,John,M,28,True,True,Education,4,50.97
221,Steve,M,35,True,False,Transport,15,57.21
222,Oscar,M,54,True,False,IT,11,36.21
223,Carlos,M,47,True,False,Cleaning,27,26.22
224,Jessica,F,63,True,False,IT,40,48.83
225,Mark,M,42,False,False,Cleaning,4,33.96
226,Mark,M,52,True,False,IT,9,62.02
227,Carlos,M,47,False,True,Health,14,47.3
228,Oscar,M,38,True,True,Health,3,55.8
229,Paula,F,30,True,True,IT,5,70.68
230,Jessica,F,64,True,True,Education,24,62.61
231,Elisabeth,F,25,True,False,Transport,7,37.28
232,Paula,F,58,False,True,IT,25,64.43
233,Steve,M,57,True,True,Health,10,70.11
234,Mark,M,42,True,False,Cleaning,4,31.88
235,Jessica,F,45,False,True,Health,23,42.79
236,Paula,F,18,False,False,IT,0,38.45
237,Elisabeth,F,60,True,False,IT,38,50.46
238,Maria,F,24,True,False,IT,4,42.23
239,Jessica,F,43,False,False,Transport,24,34.67
240,Elisabeth,F,57,False,False,Cleaning,10,34.25
241,Paula,F,20,False,True,IT,1,44.94
242,Oscar,M,34,False,False,Cleaning,16,37.3
243,Mark,M,19,True,False,IT,1,31.99
244,Clara,F,20,False,True,IT,0,52.32
245,Tim,M,35,False,True,Education,8,39.06
246,Elisabeth,F,63,False,False,Cleaning,38,25.57
247,Maria,F,59,False,True,IT,12,58.75
248,Tim,M,27,False,False,IT,0,43.62
249,John,M,35,True,True,IT,8,40.07
250,John,M,50,True,True,Health,31,62.89
251,Tim,M,34,True,True,Education,13,45.52
252,Clara,F,43,False,False,Cleaning,11,29.89
253,Elisabeth,F,65,False,True,Education,2,39.33
254,Paula,F,54,True,False,Transport,29,36.73
255,Jessica,F,45,False,False,Cleaning,7,32.84
256,Mark,M,36,True,False,Cleaning,11,42.64
257,Jessica,F,61,False,True,Education,16,35.63
258,Jessica,F,60,True,True,Education,38,52.92
259,Carlos,M,23,True,False,Transport,2,45.45
260,Paula,F,42,False,False,Cleaning,18,35.67
261,Mark,M,56,False,False,Cleaning,12,43.88
262,John,M,25,True,False,Cleaning,1,30.17
263,Carlos,M,23,False,True,IT,5,61.55
264,Jessica,F,64,True,False,Transport,16,45.89
265,Oscar,M,29,False,True,IT,0,51.58
266,Maria,F,47,True,False,Transport,20,44.88
267,Maria,F,33,True,False,Cleaning,7,25.34
268,Paula,F,40,False,False,Cleaning,11,23.05
269,Jessica,F,19,True,False,Cleaning,1,31.53
270,Jessica,F,55,False,True,Health,2,44.6
271,Maria,F,42,True,False,IT,21,51.87
272,Jessica,F,34,False,False,IT,15,48.4
273,Tim,M,39,False,False,IT,6,49.12
274,Mark,M,39,True,False,IT,7,66.41
275,Steve,M,62,False,True,Education,13,69.18
276,Paula,F,22,False,False,IT,3,47.56
277,Paula,F,30,False,False,Transport,4,34.55
278,Maria,F,40,False,False,Transport,3,37.66
279,Mark,M,29,False,False,Transport,4,37.9
280,Paula,F,47,True,False,IT,4,42.63
281,Steve,M,60,False,True,IT,14,63.73
282,Elisabeth,F,64,True,True,Health,36,61.23
283,Mark,M,44,True,False,Cleaning,20,27.25
284,Maria,F,59,False,True,Health,29,54.42
285,Steve,M,56,True,True,Education,28,68.81
286,Maria,F,18,False,False,Transport,0,26.22
287,Carlos,M,35,True,True,Education,14,79.01
288,Jessica,F,41,False,False,IT,18,57.73
289,Jessica,F,61,False,True,Health,35,48.83
290,Carlos,M,46,True,True,IT,21,45.01
291,Mark,M,51,True,True,Education,15,57.19
292,Elisabeth,F,39,True,False,Cleaning,0,24.03
293,Steve,M,36,True,False,Transport,12,33.19
294,Mark,M,54,True,False,Cleaning,1,29.89
295,Carlos,M,38,True,False,IT,3,46.93
296,Mark,M,49,True,False,IT,14,82.78
297,Jessica,F,24,True,True,Health,2,45.77
298,Oscar,M,45,True,True,Education,27,65.22
299,Jessica,F,20,False,False,IT,2,38.68
300,Oscar,M,39,True,True,Health,13,56.12
301,Maria,F,20,False,False,Cleaning,0,25.57
302,Maria,F,37,False,False,IT,10,52.6
303,Clara,F,34,False,True,Education,4,43.36
304,Elisabeth,F,35,False,True,Health,10,55.69
305,Tim,M,57,False,False,Cleaning,36,44.84
306,John,M,55,True,True,Health,7,61.62
307,Clara,F,60,True,False,Transport,26,34.31
308,Mark,M,18,True,False,Transport,0,31.31
309,Tim,M,48,True,False,Transport,7,39.52
310,Steve,M,21,True,False,Cleaning,2,35.33
311,Paula,F,27,True,True,Education,8,44.18
312,Mark,M,60,True,False,IT,21,19.64
313,Elisabeth,F,65,True,False,Cleaning,10,38.08
314,John,M,19,True,False,IT,0,44.69
315,Elisabeth,F,36,True,False,Cleaning,4,37.16
316,Jessica,F,36,True,False,IT,16,50.31
317,Carlos,M,20,False,False,Cleaning,1,25.58
318,Steve,M,34,False,True,IT,1,47.41
319,Tim,M,52,True,True,IT,18,69.11
320,Mark,M,31,True,True,Education,3,49.01
321,Mark,M,65,False,True,Health,38,48.54
322,Carlos,M,41,False,False,Cleaning,13,33.69
323,Paula,F,58,True,True,Health,36,54.51
324,Clara,F,33,True,False,IT,11,54.87
325,Tim,M,38,True,True,Health,16,44.87
326,Oscar,M,51,True,True,IT,27,61.77
327,Oscar,M,28,True,True,Education,4,49.2
328,Paula,F,44,False,False,Cleaning,19,32.63
329,Elisabeth,F,43,True,False,Transport,12,39.67
330,John,M,58,True,True,Health,13,66.79
331,Maria,F,45,True,True,IT,10,63.63
332,Paula,F,41,True,False,Transport,5,36.32
333,Tim,M,31,True,False,Transport,0,15.0
334,Oscar,M,36,False,False,Cleaning,7,30.62
335,Elisabeth,F,32,False,False,Transport,7,16.67
336,Clara,F,20,False,False,IT,2,33.62
337,Clara,F,20,True,True,Health,2,36.12
338,John,M,35,False,False,Cleaning,11,41.24
339,Oscar,M,41,True,True,IT,19,85.49
340,Tim,M,39,True,False,Cleaning,12,24.8
341,Tim,M,20,True,False,Transport,2,31.41
342,Clara,F,64,False,False,Cleaning,44,44.29
343,Mark,M,27,True,True,Education,2,48.81
344,Elisabeth,F,53,True,False,Transport,17,38.11
345,Tim,M,54,False,False,IT,20,45.24
346,Maria,F,61,False,True,Health,23,49.92
347,Maria,F,65,True,True,IT,36,76.05
348,Paula,F,21,True,True,Education,2,40.42
349,Elisabeth,F,30,True,False,Transport,6,28.46
350,Steve,M,63,False,False,Transport,39,37.53
351,Steve,M,19,True,True,IT,0,41.07
352,Mark,M,58,False,False,Cleaning,8,34.29
353,Clara,F,62,True,False,Cleaning,2,30.12
354,Oscar,M,25,True,True,Education,7,43.0
355,Maria,F,54,False,False,Cleaning,7,26.59
356,Paula,F,58,True,False,Transport,33,32.04
357,Maria,F,41,True,True,Health,12,52.35
358,John,M,65,True,False,Transport,27,42.63
359,Clara,F,51,True,True,Education,31,45.85
360,John,M,55,True,False,Cleaning,31,41.19
361,Tim,M,22,False,False,IT,3,44.24
362,Jessica,F,59,False,False,IT,9,40.87
363,Carlos,M,24,True,False,Cleaning,2,34.54
364,Mark,M,46,False,True,Education,4,54.38
365,Elisabeth,F,61,False,False,Cleaning,34,28.75
366,Jessica,F,22,True,True,Health,4,40.91
367,Elisabeth,F,33,False,True,IT,6,47.13
368,John,M,36,True,False,Cleaning,1,28.94
369,Paula,F,31,True,False,IT,8,49.16
370,Carlos,M,61,True,False,Cleaning,3,36.68
371,Clara,F,56,False,False,IT,5,43.68
372,John,M,24,False,True,Health,2,45.84
373,Maria,F,38,True,False,IT,8,44.54
374,Elisabeth,F,62,False,False,IT,42,49.34
375,Elisabeth,F,23,True,False,IT,0,45.45
376,Maria,F,60,True,False,IT,6,55.48
377,Maria,F,21,False,True,Health,0,41.03
378,John,M,45,True,True,IT,19,43.96
379,Carlos,M,58,True,False,Cleaning,27,40.85
380,John,M,38,True,False,Transport,12,35.98
381,Steve,M,21,False,False,IT,1,51.31
382,Paula,F,35,True,False,Transport,10,38.06
383,John,M,61,False,True,Health,32,61.77
384,Jessica,F,54,False,False,Cleaning,12,34.68
385,Paula,F,33,True,True,Health,11,56.15
386,Paula,F,62,True,False,Cleaning,5,40.17
387,Clara,F,26,False,True,IT,1,55.2
388,Oscar,M,62,True,True,Health,8,73.8
389,Steve,M,56,False,False,Transport,37,47.15
390,Tim,M,43,True,False,IT,21,63.74
391,Elisabeth,F,53,False,False,Cleaning,6,27.8
392,Mark,M,31,True,False,Cleaning,3,28.39
393,Carlos,M,28,False,True,IT,1,48.52
394,Clara,F,61,True,True,Education,21,59.3
395,Maria,F,29,False,False,Cleaning,2,17.87
396,Tim,M,29,True,False,Transport,2,45.0
397,Carlos,M,50,False,True,Education,28,54.46
398,John,M,63,False,True,Education,3,46.49
399,Oscar,M,65,True,False,IT,42,52.08
400,Mark,M,54,False,True,Health,9,48.68
401,Mark,M,22,True,True,Education,2,24.34
402,John,M,23,False,False,Cleaning,3,34.34
403,Steve,M,52,True,False,Cleaning,9,25.72
404,Elisabeth,F,64,False,False,Transport,41,37.97
405,Tim,M,18,True,True,Education,0,53.34
406,Paula,F,47,True,False,Transport,20,45.32
407,Steve,M,57,True,False,IT,14,64.12
408,Tim,M,45,False,False,Cleaning,18,16.85
409,Maria,F,51,True,False,IT,12,64.96
410,John,M,55,True,True,Health,30,68.05
411,Carlos,M,35,True,False,Transport,14,20.46
412,Clara,F,33,True,False,Transport,1,29.87
413,Paula,F,18,True,False,Transport,0,30.6
414,Elisabeth,F,64,True,True,Health,42,55.75
415,Clara,F,41,True,False,Transport,18,42.45
416,Steve,M,52,True,True,IT,6,76.72
417,Mark,M,20,False,False,Cleaning,1,19.03
418,John,M,49,True,False,Cleaning,27,30.86
419,Oscar,M,65,False,False,IT,35,35.99
420,Carlos,M,49,True,True,IT,7,44.83
421,Jessica,F,58,False,False,IT,10,46.51
422,Tim,M,59,True,False,Transport,26,28.19
423,Maria,F,48,True,True,IT,23,59.95
424,Maria,F,51,True,False,IT,19,62.14
425,Clara,F,35,False,True,Health,17,53.39
426,Mark,M,35,True,False,Cleaning,11,43.33
427,Maria,F,31,True,False,Cleaning,5,41.13
428,John,M,46,False,True,Education,18,80.5
429,Carlos,M,59,True,True,Health,33,55.88
430,Tim,M,20,False,False,Cleaning,2,42.31
431,Elisabeth,F,42,False,False,IT,17,54.68
432,John,M,33,True,False,IT,1,58.95
433,Maria,F,46,False,False,IT,21,50.07
434,Paula,F,26,True,True,Health,0,43.73
435,Mark,M,42,False,False,Transport,0,34.25
436,Tim,M,56,False,False,Transport,31,56.91
437,Steve,M,45,True,False,Transport,7,33.96
438,Jessica,F,50,True,True,IT,21,57.47
439,Oscar,M,35,True,True,Health,16,51.12
440,Paula,F,32,False,False,Transport,6,40.29
441,Paula,F,18,True,False,Transport,0,26.34
442,Jessica,F,42,True,True,Education,11,53.09
443,Mark,M,42,True,True,Education,4,54.95
444,Carlos,M,62,False,False,Cleaning,4,37.4
445,Steve,M,34,True,False,IT,5,26.2
446,Oscar,M,53,True,False,Transport,21,52.62
447,Jessica,F,58,False,True,IT,33,53.57
448,Maria,F,48,True,False,Cleaning,18,37.93
449,John,M,36,True,True,IT,0,75.96
450,Carlos,M,61,True,False,Transport,33,55.56
451,Maria,F,23,True,False,Transport,5,38.38
452,Oscar,M,34,False,False,Transport,7,39.53
453,Oscar,M,29,True,True,Health,1,56.62
454,Elisabeth,F,36,False,True,Education,6,44.67
455,Carlos,M,38,False,True,IT,7,61.62
456,Jessica,F,37,True,False,Cleaning,16,28.58
457,Oscar,M,21,False,True,Health,2,59.62
458,Elisabeth,F,51,True,True,IT,7,61.67
459,Elisabeth,F,63,False,True,Education,0,52.49
460,Maria,F,48,False,False,Cleaning,2,31.35
461,Tim,M,24,False,True,IT,1,54.42
462,Elisabeth,F,62,False,False,IT,3,46.93
463,Jessica,F,65,False,False,IT,44,49.26
464,Maria,F,27,True,False,Transport,0,27.81
465,Tim,M,56,True,False,Transport,13,39.09
466,Jessica,F,62,False,True,IT,19,69.51
467,Tim,M,55,True,True,IT,34,80.09
468,Clara,F,44,True,True,Education,10,39.66
469,Carlos,M,23,False,True,Health,5,49.61
470,Elisabeth,F,42,True,False,Cleaning,8,33.3
471,John,M,53,False,True,IT,3,66.69
472,Jessica,F,44,True,False,IT,21,44.53
473,Clara,F,27,True,True,Health,9,57.71
474,Paula,F,26,True,False,Transport,1,41.11
475,Paula,F,30,False,False,Transport,10,33.87
476,Tim,M,65,False,True,Education,31,46.76
477,Elisabeth,F,63,True,False,Transport,25,46.57
478,Elisabeth,F,41,True,False,IT,9,41.95
479,Paula,F,42,True,False,IT,20,51.9
480,Carlos,M,56,True,True,IT,32,102.32
481,Elisabeth,F,32,False,True,Health,6,41.45
482,Jessica,F,29,False,False,IT,2,46.94
483,Clara,F,53,True,False,Transport,13,40.64
484,Maria,F,56,True,True,IT,10,80.7
485,Elisabeth,F,42,True,False,Transport,1,31.82
486,Jessica,F,52,True,False,Transport,1,28.18
487,Mark,M,36,False,False,IT,13,30.24
488,Carlos,M,47,False,True,IT,20,69.84
489,Elisabeth,F,63,False,False,Cleaning,19,41.37
490,Elisabeth,F,46,False,False,Transport,8,33.51
491,Steve,M,46,False,False,Cleaning,27,55.15
492,Maria,F,53,False,True,IT,19,61.68
493,Oscar,M,54,False,True,Health,7,48.44
494,Elisabeth,F,37,True,True,Education,0,51.94
495,Steve,M,21,False,False,Cleaning,1,37.5
496,Steve,M,37,False,True,IT,1,67.64
497,Oscar,M,32,False,True,IT,7,46.26
498,Carlos,M,35,True,False,Cleaning,7,29.55
499,Mark,M,21,False,True,Education,3,50.15
500,Paula,F,33,True,False,Cleaning,3,37.9
501,Paula,F,44,True,False,IT,1,48.18
502,Carlos,M,50,True,True,Education,12,67.13
503,Clara,F,56,False,False,Cleaning,3,25.57
504,Oscar,M,27,False,False,Transport,3,33.34
505,Elisabeth,F,40,True,True,Education,16,42.82
506,Elisabeth,F,64,True,True,Health,37,59.61
507,Elisabeth,F,29,False,False,IT,3,43.23
508,Clara,F,24,True,False,Cleaning,4,32.16
509,Elisabeth,F,33,True,False,Transport,9,29.54
510,Steve,M,33,True,False,Cleaning,6,23.75
511,Maria,F,56,False,False,Transport,16,33.85
512,John,M,50,False,True,Education,19,42.16
513,John,M,54,False,True,IT,25,80.19
514,Elisabeth,F,38,True,False,Transport,14,45.05
515,Tim,M,22,False,False,IT,3,58.11
516,Jessica,F,54,True,True,Education,9,42.75
517,Jessica,F,27,False,True,Health,3,54.15
518,John,M,45,False,False,Cleaning,3,36.26
519,Oscar,M,43,True,False,IT,9,70.04
520,Elisabeth,F,45,False,False,IT,16,57.29
521,Jessica,F,29,False,True,IT,9,62.87
522,Clara,F,61,False,False,Cleaning,36,30.61
523,Oscar,M,31,True,True,IT,13,22.24
524,Elisabeth,F,49,True,True,IT,11,65.71
525,Maria,F,39,True,True,Health,14,40.52
526,Carlos,M,56,True,False,Transport,27,24.44
527,Carlos,M,52,True,True,Education,16,50.41
528,Maria,F,26,False,True,Health,0,43.27
529,Oscar,M,25,True,False,IT,2,33.38
530,Clara,F,39,False,True,Health,4,43.45
531,Elisabeth,F,65,True,True,Education,16,44.7
532,Maria,F,21,True,False,IT,2,51.7
533,Oscar,M,33,True,False,Cleaning,0,32.59
534,Elisabeth,F,24,True,False,Cleaning,4,26.21
535,Carlos,M,19,True,False,Transport,1,28.26
536,Tim,M,39,False,False,Transport,11,37.95
537,Carlos,M,29,True,False,IT,0,48.19
538,Maria,F,48,True,False,Cleaning,4,34.6
539,Clara,F,32,False,True,Health,9,36.79
540,Tim,M,57,True,True,IT,19,50.71
541,Paula,F,18,True,True,Education,0,40.27
542,Jessica,F,31,True,True,Education,13,51.31
543,Elisabeth,F,53,False,True,Education,31,50.56
544,Oscar,M,40,False,False,Transport,17,47.61
545,Maria,F,38,True,True,Education,14,55.75
546,Tim,M,30,False,False,Cleaning,2,20.23
547,Tim,M,34,True,False,Cleaning,11,32.31
548,Tim,M,63,False,False,Cleaning,18,31.76
549,Elisabeth,F,56,True,False,Cleaning,7,29.3
550,Mark,M,42,False,True,Health,10,58.07
551,John,M,52,True,False,Transport,25,40.63
552,Paula,F,43,False,False,Cleaning,6,37.49
553,Clara,F,57,True,True,Health,26,57.43
554,Jessica,F,31,True,False,IT,12,46.25
555,Clara,F,37,False,False,Transport,17,24.05
556,Mark,M,56,False,True,IT,32,22.71
557,Jessica,F,64,False,False,Transport,10,28.79
558,Oscar,M,47,True,False,Transport,17,32.52
559,Maria,F,64,True,False,IT,32,53.85
560,Jessica,F,41,True,False,Transport,13,29.28
561,Carlos,M,45,False,True,Education,15,47.56
562,Mark,M,35,False,False,Transport,4,21.1
563,Maria,F,36,False,True,Education,4,49.46
564,Elisabeth,F,60,False,True,Education,40,48.28
565,Maria,F,59,True,True,Health,27,46.17
566,Steve,M,65,True,False,IT,13,63.54
567,Maria,F,58,True,False,Transport,24,50.29
568,Paula,F,23,True,False,Transport,3,32.32
569,Oscar,M,43,True,True,Health,0,36.06
570,Oscar,M,29,True,True,Education,2,49.9
571,Oscar,M,22,True,False,IT,3,38.06
572,Paula,F,53,False,False,IT,21,56.34
573,Clara,F,37,True,True,Education,3,39.79
574,Clara,F,50,False,True,Health,2,48.43
